timestamp,store_id,device_id,temperature,humidity,meter_reading,freezer_temp
2026-06-16 22:00:00,S001,DEV-A01,20.0,55.2,,
2026-06-16 22:00:00,S001,DEV-A02,20.0,41.8,,
2026-06-16 22:00:00,S001,FREEZER-A01,,,1923.5,-19.6
2026-06-16 22:00:00,S001,METER-A01,26.0,48.8,1023.2,
2026-06-16 22:30:00,S001,DEV-A01,24.9,42.7,,
2026-06-16 22:30:00,S001,DEV-A02,24.1,57.5,,
2026-06-16 22:30:00,S001,FREEZER-A01,,,1330.9,-16.1
2026-06-16 22:30:00,S001,METER-A01,18.4,64.6,1221.2,
2026-06-16 23:00:00,S001,DEV-A01,22.1,41.2,,
2026-06-16 23:00:00,S001,DEV-A02,19.7,61.6,,
2026-06-16 23:00:00,S001,FREEZER-A01,,,1257.8,-18.8
2026-06-16 23:00:00,S001,METER-A01,20.0,65.4,1258.6,
2026-06-16 23:30:00,S001,DEV-A01,24.3,63.6,,
2026-06-16 23:30:00,S001,DEV-A02,25.8,59.3,,
2026-06-16 23:30:00,S001,FREEZER-A01,,,1101.4,-20.0
2026-06-16 23:30:00,S001,METER-A01,25.7,44.3,1472.0,
2026-06-17 00:00:00,S001,DEV-A01,24.1,63.9,,
2026-06-17 00:00:00,S001,DEV-A02,24.8,68.5,,
2026-06-17 00:00:00,S001,FREEZER-A01,,,1422.9,-16.3
2026-06-17 00:00:00,S001,METER-A01,25.6,40.6,1245.5,
2026-06-17 00:30:00,S001,DEV-A01,23.9,63.3,,
2026-06-17 00:30:00,S001,DEV-A02,24.6,40.8,,
2026-06-17 00:30:00,S001,FREEZER-A01,,,1353.4,-21.2
2026-06-17 00:30:00,S001,METER-A01,22.6,57.7,1801.2,
2026-06-17 01:00:00,S001,DEV-A01,23.9,45.9,,
2026-06-17 01:00:00,S001,DEV-A02,18.6,55.2,,
2026-06-17 01:00:00,S001,FREEZER-A01,,,1933.1,-19.5
2026-06-17 01:00:00,S001,METER-A01,25.4,56.0,1180.0,
2026-06-17 01:30:00,S001,DEV-A01,21.8,47.1,,
2026-06-17 01:30:00,S001,DEV-A02,18.5,66.3,,
2026-06-17 01:30:00,S001,FREEZER-A01,,,1308.3,-16.9
2026-06-17 01:30:00,S001,METER-A01,20.2,61.1,1755.0,
2026-06-17 02:00:00,S001,DEV-A01,23.7,62.7,,
2026-06-17 02:00:00,S001,DEV-A02,22.1,64.8,,
2026-06-17 02:00:00,S001,FREEZER-A01,,,1748.9,-20.4
2026-06-17 02:00:00,S001,METER-A01,24.7,50.0,1100.1,
2026-06-17 02:30:00,S001,DEV-A01,21.5,43.6,,
2026-06-17 02:30:00,S001,DEV-A02,21.8,51.6,,
2026-06-17 02:30:00,S001,FREEZER-A01,,,1155.1,-20.7
2026-06-17 02:30:00,S001,METER-A01,18.7,67.5,1262.1,
2026-06-17 03:00:00,S001,DEV-A01,18.6,53.4,,
2026-06-17 03:00:00,S001,DEV-A02,25.4,41.1,,
2026-06-17 03:00:00,S001,FREEZER-A01,,,1687.6,-20.9
2026-06-17 03:00:00,S001,METER-A01,18.1,42.1,1595.8,
2026-06-17 03:30:00,S001,DEV-A01,22.2,68.9,,
2026-06-17 03:30:00,S001,DEV-A02,18.4,65.5,,
2026-06-17 03:30:00,S001,FREEZER-A01,,,1275.1,-18.2
2026-06-17 03:30:00,S001,METER-A01,22.6,55.8,1336.0,
